,Book Title,Author
2605,A Sorrow Beyond Dreams,Peter Handke
2606,Day,A. L. Kennedy
2607,"The Diary of Anais Nin, 1931-1934",Anaïs Nin
2608,How the Garcia Girls Lost Their Accents,Julia Alvarez
2609,The Pearl,John Steinbeck
2610,Best Science Fiction Stories of H. G. Wells,H. G. Wells
2611,Landing Light,Don Paterson
2612,The Story Of Edgar Sawtelle,David Wroblewski
2613,Maggie: A Girl of the Streets,Stephen Crane
2614,Theory of War,Joan Brady
2615,Outside Over There,Maurice Sendak
2616,Rivers and Mountains,John Ashbery
2617,Behind of the Scenes at the Museum,Kate Atkinson
2618,The Children of Dynmouth,William Trevor
2619,Kruger's Alp,Christopher Hope
2620,The Dharma Bums,Jack Kerouac
2621,Samuel Pepys: The Unequalled Self,Claire Tomalin
2622,Picture Palace,Paul Theroux
2623,Wild at Heart: The Story of Sailor and Lula,Barry Gifford
2624,Searching for Caleb,Anne Tyler
2625,The Box Man,Kobo Abé
2626,Thank You and Other Poems,Kenneth Koch
2627,Joy in the Morning,P. G. Wodehouse
2628,Hagoromo: A Celestial Robe,Japan
2629,Christina Rossetti: The Complete Poems,Christina Georgina Rossetti
2630,The Book of Strange New Things,Michel Faber
2631,Injury Time,Beryl Bainbridge
2632,The Sign of Four,Arthur Conan Doyle
2633,English Passengers,Matthew Kneale
2634,The Time Traveler's Wife,Audrey Niffenegger
2635,Apu Ollontay,Peru
2636,"Struwwelpeter, Or, Merry Rhymes and Funny Pictures...",Heinrich Hoffmann
2637,Home to Harlem,Claude McKay
2638,Cheri,Colette
2639,"Poems: Selected and New, 1950-1974",Adrienne Rich
2640,Savages: A Novel,Don Winslow
2641,Last Exit to Brooklyn,Hubert Selby
2642,Young Shoulders,John Wain
2643,The Three Hundred Tang Poems,China
2644,Elegies,Douglas Dunn
2645,Hard Times,Charles Dickens
2646,The Terror,Dan Simmons
2647,The Complete Stories,Zora Neale Hurston
2648,The Lime Twig,John Hawkes
2649,The Natural,Bernard Malamud
2650,A Fan's Notes,Frederick Exley
2651,Poor Things,Alasdair Gray
2652,"130 ""best of"" book lists",list details page
2653,Green Eggs and Ham,Dr. Seuss
2654,An Occurrence at Owl Creek Bridge,Ambrose Bierce
2655,Collected Stories of Peter Taylor,Peter Taylor
2656,Felicia's Journey,William Trevor
2657,City of Glass,Paul Auster
2658,The History of Mr. Polly,H. G. Wells
2659,Seven Gothic Tales,Karen Blixen
2660,Hopeful Monsters,Nicholas Mosley
2661,Airships,Barry Hannah
2662,The Complete Poems of Marianne Moore,Marianne Moore
2663,The Chymical Wedding,Lindsay Clarke
2664,The Collected Poems of Audre Lorde,Audre Lorde
2665,Quarantine,Jim Crace
2666,The Destiny Waltz,Gerda Charles
2667,Building Stories,Chris Ware
