,Book Title,Author
768,The Thinking Reed,Rebecca West
769,A Brief History of Seven Killings,Marlon James
770,The Man in the High Castle,Philip K. Dick
771,The Magnificent Ambersons ,Booth Tarkington
772,The Famished Road,Ben Okri
773,Harry Potter and the Goblet of Fire ,J. K Rowling
774,Dog Soldiers ,Robert Stone
775,Goodnight Moon,Margaret Wise Brown
776,Selected Stories of Lu Hsun,Xun Lu
777,The Maias: Episodes from Romantic Life,Eça de Queirós
778,Krapp's Last Tape,Samuel Beckett
779,The Transit of Venus,Shirley Hazzard
780,The Golden Ass (Metamorphoses): Or Metamorphoses,Apuleius
781,Written on the Body,Jeanette Winterson
782,Studs Lonigan,James T. Farrell
783,July's People,Nadine Gordimer
784,Bérénice,Jean Racine
785,Flaubert's Parrot,Julian Barnes
786,My Brilliant Friend,Elena Ferrante
787,The Radiant Way,Margaret Drabble
788,The Amber Spyglass,Philip Pullman
789,Lost Horizon,James Hilton
790,The Short Stories of F. Scott Fitzgerald,F. Scott Fitzgerald
791,Oryx and Crake,Margaret Atwood
792,The Collected Stories of Isaac Babel,Isaac Babel
793,Fingersmith,Sarah Waters
794,Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder
795,The Marriage Of Cadmus And Harmony,Roberto Calasso
796,Billy Budd,Herman Melville
797,Omeros,Derek Walcott
798,A Lost Lady,Willa Cather
799,Nectar in a Sieve,Kamala Markandaya
800,Citizen: An American Lyric,Claudia Rankine
801,Harry Potter and the Deathly Hallows,J. K Rowling
802,Cranford,Elizabeth Gaskell
803,The Curious Incident of the Dog in the Night-time,Mark Haddon
804,The Lady with the Dog,Anton Chekhov
805,Vernon God Little,DBC Pierre
806,The Gathering,Anne Enright
807,G.,John Berger
808,"How Late It Was, How Late",James Kelman
809,The Old Devils,Kingsley Amis
810,Mao II,Don DeLillo
811,In a Free State,V. S. Naipaul
812,The Sea,John Banville
813,The Fortress of Solitude,Jonathan Lethem
814,A Thousand Splendid Suns,Khaled Hosseini
815,Balzac and the Little Chinese Seamstress,Dai Sijie
816,"130 ""best of"" book lists",list details page
817,The Clan of the Cave Bear,Jean M. Auel
818,Wittgenstein's Mistress,David Markson
819,The Fixer,Bernard Malamud
820,Harry Potter and the Half-Blood Prince,J. K Rowling
821,The Pillars Of The Earth,Ken Follett
822,Red Harvest ,Dashiell Hammett
823,Pastoralia,George Saunders
824,Amerika,Franz Kafka
825,Harry Potter And The Prisoner Of Azkaban,J. K Rowling
826,Harry Potter And The Chamber Of Secrets,J. K Rowling
827,Harry Potter and the Order of the Phoenix,J. K Rowling
828,Richard III,William Shakespeare
829,Lanark ,Alasdair Gray
830,The Kreutzer Sonata: And Other Stories,Leo Tolstoy
831,The Elementary Particles,Michel Houellebecq
832,A Violent Life,Pier Paolo Pasolini
833,Home and the World,Rabindranath Tagore
834,The Castle of Otranto: A Gothic Story,Horace Walpole
835,Love in a Cold Climate,Nancy Mitford
836,Blindness,Henry Green
837,Junky,William S. Burroughs
838,Living,Henry Green
839,Against Nature,J. K. Huysmans
840,A Severed Head,Iris Murdoch
841,"Bless Me, Ultima",Rudolfo Anaya
842,The Importance of Being Earnest,Oscar Wilde
843,The Moor's Last Sigh,Salman Rushdie
844,Endgame,Samuel Beckett
845,Ender's Game,Orson Scott Card
846,The Neapolitan Novels,Elena Ferrante
847,How Should a Person Be?,Sheila Heti
848,The Unconsoled,Kazuo Ishiguro
849,Tell Me a Riddle,Tillie Olsen
850,Three Lives,Gertrude Stein
851,Poems of Rumi,Jalāl al-Dīn Rūmī (Maulana)
852,The Fall,Albert Camus
853,Bartleby & Co,Enrique Vila-Matas
854,Professor Unrat,Heinrich Mann
855,The German Lesson,Siegfried Lenz
856,The Discovery of Heaven,Harry Mulisch
857,The Recognition of Sakuntala,Kālidāsa
858,A Tale of Love and Darkness,Amos Oz
859,A Fable,William Faulkner
860,Wilhelm Meister's Apprenticeship,Johann Wolfgang von Goethe
861,Norwegian Wood,Haruki Murakami
862,The Colour of Magic,Terry Pratchett
863,The Secret Diary of Adrian Mole Aged 13 3/4,Sue Townsend
864,The Royal Game,Stefan Zweig
865,Auto Da Fé,Elias Canetti
866,Michael Kohlhaas,Heinrich von Kleist
867,"130 ""best of"" book lists",list details page
868,Effi Briest,Theodor Fontane
869,I Capture the Castle,Dodie Smith
870,The Underground Railroad,Colson Whitehead
871,"Roll of Thunder, Hear My Cry",Mildred D. Taylor
872,Fifth Business,Robertson Davies
873,The Making of Americans,Gertrude Stein
874,Belle du Seigneur,Albert Cohen
875,LaBrava,Elmore Leonard
876,Under Satan's Sun,Georges Bernanos
877,A Ghost at Noon,Alberto Moravia
878,Nightwood,Djuna Barnes
879,The Ragged Trousered Philanthropists,Robert Tressell
880,The Lost Honour of Katharina Blum,Heinrich Böll
881,The Opposing Shore,Julien Gracq
882,The Ravishing of Lol Stein,Marguerite Duras
883,The Water Margin: Outlaws of the Marsh,Shi Naian
884,The Third Policeman,Flann O'Brien
885,The Bluest Eye,Toni Morrison
886,Oroonoko,Aphra Behn
887,In Watermelon Sugar,Richard Brautigan
888,Hadrian the Seventh,Frederick Rolfe
889,The Heat of the Day,Elizabeth Bowen
890,Gentlemen Prefer Blondes: The Illuminating Diary of a Professional Lady ,Anita Loos
891,The Dispossessed,Ursula K. Le Guin
892,Foucault's Pendulum,Umberto Eco
893,The Art of Fielding,Chad Harbach
894,Watt,Samuel Beckett
895,The Yearling,Marjorie Kinnan Rawlings
896,The Narrow Road to the Deep North,Matsuo Bashō
897,The Warden,Anthony Trollope
898,The Selected Works of Cesare Pavese,Cesare Pavese
899,The Crucible,Arthur Miller
900,Giants in the Earth,Ole Edvart Rolvaag
901,Riders of the Purple Sage,Zane Grey
902,Collected Poems,Arthur Rimbaud
903,Mating,Norman Rush
904,The Complete Poetry and Essential Prose of John Milton,John Milton
905,The Misanthrope,Molière
906,Twice-Told Tales,Nathaniel Hawthorne
907,Independence Day,Richard Ford
908,The Outsiders,S. E. Hinton
909,The Poems of Walt Whitman,Walt Whitman
910,The Da Vinci Code,Dan Brown
911,Old Filth,Jane Gardam
912,The Collected Works of St. John of the Cross,St. John of the Cross
913,The Mists of Avalon,Marion Zimmer Bradley
914,Dept. of Speculation,Jenny Offill
915,Outlander,Diana Gabaldon
916,Mumbo Jumbo,Ishmael Reed
917,The Horse's Mouth,Joyce Cary
918,"130 ""best of"" book lists",list details page
919,Never Mind,Edward St Aubyn
920,At Last,Edward St Aubyn
921,Some Hope,Edward St Aubyn
922,Bad News,Edward St Aubyn
923,Collected Works of Edna St. Vincent Millay,Edna St. Vincent Millay
924,Le Cid,Pierre Corneille
925,The Slaves of Solitude,Patrick Hamilton
926,Asymmetry,Lisa Halliday
927,Forbidden Colours,Yukio Mishima
928,Mortals,Norman Rush
929,Fables of La Fontaine,Jean de La Fontaine
930,Petrarch's Songbook,Francesco Petrarca
931,Family Sayings,Natalia Ginzburg
932,The Faerie Queene,Edmund Spenser
933,The Complete Poems of Samuel Taylor Coleridge,Samuel Coleridge
934,Legends of The Fall,Jim Harrison
935,The Lottery and Other Stories,Shirley Jackson
936,Collected Stories,William Somerset Maugham
937,American Genius: A Comedy,Lynne Tillman
938,Saint Joan,George Bernard Shaw
939,The Master Builder,Henrik Ibsen
940,The Wild Duck,Henrik Ibsen
941,El Buscón,Francisco de Quevedo
942,Cannery Row,John Steinbeck
943,Gaudy Night,Dorothy L Sayers
944,The Horse Whisperer,Nicholas Evans
945,Phaedrus,Plato
946,One Hundred and One Poems by Paul Verlaine,Paul Verlaine
947,"Goodbye, Columbus",Philip Roth
948,A Streetcar Named Desire,Tennessee Williams
949,The Interior Castle,Teresa of Avila
950,From Here to Eternity ,James Jones
951,Last Orders,Graham Swift
952,Selected Poems,Pierre Ronsard
953,The Confessions of Nat Turner,William Styron
954,Suttree,Cormac McCarthy
955,Poems of Friedrich Hölderlin,Friedrich Holderlin
956,"Twelfth Night: Or, What You Will",William Shakespeare
957,The Emigrants,Winfried Georg Sebald
958,Les Filles du feu,Gerard de Nerval
959,Going After Cacciato,Tim O'Brien
960,Preparation for the Next Life,Atticus Lish
961,Soledades,Luis de Góngora
962,The Book of the City of Ladies,Christine De Pizan
963,The Great Fire,Shirley Hazzard
964,Bostan,Saadi
965,Njal's Saga,Iceland
966,Masnavi,Jalal al-Din Muhammad Rumi
967,Daphnis and Chloe,Longus
968,Poems of Eugenio Montale,Eugenio Montale
969,"130 ""best of"" book lists",list details page
970,Children of Gebelawi,Naguib Mahfouz
971,The Sound of the Mountain,Yasunari Kawabata
972,Poems,Paul Celan
973,Parzival,Wolfram Eschenbach
974,The Complete Writings of Alfred de Musset,Alfred de Musset
975,A High Wind in Jamaica,Richard Hughes
976,The Van,Roddy Doyle
977,Song of Songs,Christian Church
978,Sóngoro cosongo,Nicolás Guillén
979,Curial e Güelfa,Anonymous
980,The Black Prince,Iris Murdoch
981,Pigs in Heaven,Barbara Kingsolver
982,The Collected Poems of William Carlos Williams: 1909-1939,William Carlos Williams
983,Days Without End,Sebastian Barry
984,"The Figaro Trilogy: The Barber of Seville, The Marriage of Figaro, The Guilty Mother",Pierre-Augustin Caron de Beaumarchais
985,The Girl with the Dragon Tattoo,Stieg Larsson
986,Eye Of The Needle,Ken Follett
987,She Stoops to Conquer,Oliver Goldsmith
988,Stories of Washington Irving,Washington Irving
989,"Germany, a Winter Tale",Heinrich Heine
990,Les Tragiques,Agrippa d'Aubigné
991,Les Destinées,Alfred de Vigny
992,Betrayed by Rita Hayworth,Manuel Puig
993,La siesta de M. Andesmas,Marguerite Duras
994,Calila e Dimna,Anonymous
995,Coplas por la muerte de su padre,Jorge Manrique
996,The Way of a Pilgrim,Anonymous
997,Ubu Roi,Alfred Jarry
998,Sir Gawain and the Green Knight,Simon Armitage
999,The Collected Works of Paul Valéry,Paul Valéry
1000,Daisy Miller,Henry James
1001,The Return of the Native,Thomas Hardy
1002,Lunch Poems,Frank O'Hara
1003,The Hamlet,William Faulkner
1004,The Complete Poetry of César Vallejo,César Vallejo
1005,Conversation in the Cathedral,Mario Vargas Llosa
1006,Carmen,Prosper Mérimée
1007,Sabbath's Theater,Philip Roth
1008,The Poems of Percy Bysshe Shelley ,Percy Bysshe Shelley
1009,Homegoing,Yaa Gyasi
1010,The Wanderer,Henri Alain-Fournier
1011,Trainspotting,Irvine Welsh
1012,"Hateship, Friendship, Courtship, Loveship, Marriage",Alice Munro
1013,Marivaux: Three Plays,Pierre Carlet de Chamblain de Marivaux
1014,The Beauty Of The Husband,Anne Carson
1015,La légende des siècles,Victor Hugo
1016,Zazie in the Metro,Raymond Queneau
1017,Sandman,Neil Gaiman
1018,Elizabeth Costello,J M Coetzee
1019,Poems,Miguel de Unamuno
1020,"130 ""best of"" book lists",list details page
1021,Gospels,Various Authors
1022,Guzmán de Alfarache,Mateo Alemán
1023,The Children of Men,P. D. James
1024,Kane and Abel,Jeffrey Archer
1025,Poems of Pablo Neruda,Pablo Neruda
1026,Los lanzallamas,Roberto Arlt
1027,The Last Books of Hector Viel Temperley,Hector Viel Temperley 
1028,Manhattan Transfer,John Dos Passos
1029,Little House on the Prairie,Laura Ingalls Wilder
1030,Calligrammes,Guillaume Apollinaire
1031,Unless,Carol Shields
1032,American Tabloid,James Ellroy
1033,Residence on Earth,Pablo Neruda
1034,Trilce,César Vallejo
1035,The Poems of Jaime Gil de Biedma ,Jaime Gil de Biedma 
1036,Rimas,Gustavo Adolfo Bécquer
1037,Juan De Mairena,Antonio Machado
1038,The Hardy Boys,Franklin W. Dixon
1039,The Manticore,Robertson Davies
1040,Lad: a Dog,Albert Payson Terhune
1041,Nero Wolfe,Rex Stout
1042,The Progress of Love,Alice Munro
1043,World of Wonders,Robertson Davies
1044,Death on Credit,Louis-Ferdinand Céline
1045,Mrs. Bridge,Evan S. Connell
1046,The Poetry of Derek Walcott 1948-2013,Derek Walcott
1047,Kolyma Tales,Varlan Shalanov
1048,The Complete Poems,Philip Larkin
1049,We Have Always Lived in the Castle,Shirley Jackson
1050,Complete Stories,Dorothy Parker
1051,Mr Bridge,Evan S. Connell
1052,The Princess Bride: An Illustrated Edition of S. Morgenstern's Classic Tale of True Love and High Adventure,William Goldman
1053,Collected Stories,Raymond Chandler
1054,The First Man,Albert Camus
1055,Demian,Hermann Hesse
1056,Mortal y rosa,Francisco Umbral
1057,Sonnets,Julián Olivares
1058,Poems of Góngora,Luis de Góngora
1059,Last Evenings with Teresa,Juan Marse
1060,Aunt Julia and the Scriptwriter,Mario Vargas Llosa
1061,Illuminations,Arthur Rimbaud
1062,Bohemian Lights,Ramón del Valle-Inclán
1063,The Shadow Line,Joseph Conrad
1064,"Spain, Take This Chalice from Me",César Vallejo
1065,"Three plays: The hostage, Crusts, The humiliation of the father",Paul Claudel
1066,Wry-Blue Loves: Les Amours Jaunes,Tristan Corbière
1067,Les Contemplations,Victor Hugo
1068,La Nuit obscure,Jean de la Croix
1069,Poetry,Quintus Lutatius Catulus
1070,The Diary of a Country Priest,Georges Bernanos
1071,"130 ""best of"" book lists",list details page
1072,The Jungle Book,Rudyard Kipling
1073,Ellen Foster,Kaye Gibbons
1074,Villette,Charlotte Bronte
1075,"Sing, Unburied, Sing",Jesmyn Ward
1076,Brick Lane,Monica Ali
1077,War and Remembrance,Herman Wouk
1078,The Violent Bear It Away,Flannery O'Connor
1079,Centennial,James A. Michener
1080,The Mandarins,Simone de Beauvoir
1081,Chaka, Thomas Mofolo
1082,The Bells of Basel,Louis Aragon
1083,The Parable of the Blind,Gert Hofmann
1084,News from Nowhere,William Morris
1085,The Man of Feeling, Henry Mackenzie
1086,Nada,Carmen Laforet
1087,Kitchen,Banana Yoshimoto
1088,Cigarettes,Harry Mathews
1089,Waterland,Graham Swift
1090,Billy Liar, Keith Waterhouse
1091,A Dry White Season, Andre Brink
1092,The History of the Siege of Lisbon,José Saramago
1093,Miramar,Naguib Mahfouz
1094,The Afternoon of a Writer,Peter Handke
1095,The Hive, Camilo José Cela
1096,"W, or the Memory of Childhood",Georges Perec
1097,The Enormous Room,E. E. Cummings
1098,The Bell,Iris Murdoch
1099,"Couples, Passersby",Botho Strauß
1100,Willard and His Bowling Trophies: A Perverse Mystery,Richard Brautigan
1101,The Late-night News,Petros Markaris
1102,Reasons to Live,Amy Hempel
1103,The Enchanted Wanderer,Nikolai Leskov
1104,Hallucinating Foucault,Patricia Duncker
1105,Forever a Stranger,Hella S. Haasse
1106,Fall On Your Knees,Ann-Marie MacDonald
1107,The Blind Owl,Ṣādiq Hidāyat
1108,Giles Goat-Boy,John Barth
1109,The Diviners, Margaret Laurence
1110,The Swarm,Frank Schatzing
1111,Z,Vassilis Vassilikos
1112,Viper’s Tangle,François Mauriac
1113,Pereira Maintains,Antonio Tabucchi
1114,The Fruits of the Earth,André Gide
1115,Cause for Alarm,Eric Ambler
1116,Sandokan,Emilio Salgari
1117,What Maisie Knew,Henry James
1118,The Honorary Consul,Graham Greene
1119,Under the Skin,Michel Faber
1120,Dangling Man,Saul Bellow
1121,Midaq Alley,Naguib Mahfouz
1122,"130 ""best of"" book lists",list details page
1123,Contact,Carl Sagan
1124,A Light Comedy,Eduardo Mendoza
1125,Extinction,Thomas Bernhard
1126,The Book about Blanche and Marie,Per Olov Enquist
1127,The History of Love,Nicole Krauss
1128,Heartbreak Tango,Manuel Puig
1129,The Twilight Years,Sawako Ariyoshi
1130,The Street of Crocodiles,Bruno Schulz
1131,The Tree of Man,Patrick White
1132,The Nun,Denis Diderot
1133,Forest of the Hanged,Liviu Rebreanu
1134,The Magician of Lublin,Isaac Bashevis Singer
1135,The Crime of Father Amaro,Eça de Queirós
1136,Eclipse of the Crescent Moon,Géza Gárdonyi
1137,The deadbeats: a novel,Ward Ruyslinck
1138,Arcanum 17,André Breton
1139,Anagrams,Lorrie Moore
1140,Obabakoak, Bernardo Atxaga
1141,The Triple Mirror of the Self,Zulfikar Ghose
1142,The Busconductor Hines,James Kelman
1143,Black Box,Amos Oz
1144,Luka,Antun Šoljan
1145,Group Portrait with Lady,Heinrich Böll
1146,The Grass Is Singing,Doris Lessing
1147,Cost,Roxana Robinson
1148,North and South,Elizabeth Gaskell
1149,I Malavoglia,Giovanni Verga
1150,The Well of Loneliness,Radclyffe Hall
1151,Back,Henry Green
1152,The First Garden,Anne Hébert
1153,Heavy Wings,Zhang Jie
1154,Land,Kyŏng-ni Pak
1155,Story of O,Pauline Reage
1156,Closely Watched Trains,Bohumil Hrabal
1157,Halftime,Martin Walser
1158,Compassion,Benito Pérez Galdós
1159,A Town Like Alice,Nevil Shute
1160,Conversations in Sicily,Elio Vittorini
1161,Get Shorty,Elmore Leonard
1162,The Book of Daniel,E. L. Doctorow
1163,"Gabriela, Clove and Cinnamon",Jorge Amado
1164,Shame,Salman Rushdie
1165,Uncle Silas,Sheridan Le Fanu
1166,The Bitter Glass,Eilís Dillon
1167,The Case Worker,György Konrád
1168,Marks of Identity,Juan Goytisolo
1169,House Mother Normal,B. S. Johnson
1170,The Left-Handed Woman,Peter Handke
1171,Tarr, Wyndham Lewis
1172,A Ballad for Georg Henig, Viktor Paskov
1173,"130 ""best of"" book lists",list details page
1174,"Garden, Ashes",Danilo Kiš
1175,Untouchable,Mulk Raj Anand
1176,A World for Julius,Alfredo Bryce Echenique
1177,Under the Yoke,Ivan Vazov
1178,A Gate at the Stairs,Lorrie Moore
1179,A Day in Spring,Ciril Kosmač
1180,"The History of Rasselas, Prince of Abissinia",Samuel Johnson
1181,Death and the Dervish,Meša Selimović
1182,Gösta Berling's Saga,Selma Lagerlöf
1183,Rickshaw Boy,Lao She
1184,Dog Years,Günter Grass
1185,The Nine Tailors,Dorothy L Sayers
1186,"The Water-Babies, A Fairy Tale for a Land Baby",Charles Kingsley
1187,Arrow of God,Chinua Achebe
1188,Girl With Green Eyes,Edna O'Brien
1189,The Third Wedding,Kōstas Tachtsēs
1190,Bel Ami,Guy de Maupassant
1191,Myra Breckinridge,Gore Vidal
1192,Absolute Beginners,Colin MacInnes
1193,Journey to the Center of the Earth,Jules Verne
1194,"Nip the Buds, Shoot the Kids",Kenzaburō Ōe
1195,The 13 Clocks,James Thurber
1196,Astradeni,Eugenia Fakinou
1197,The Vicar of Wakefield,Oliver Goldsmith
1198,Blue of Noon,Georges Bataille
1199,The Roots of Heaven,Romain Gary
1200,The Manila Rope,Veijo Meri
1201,Justine,Lawrence Durrell
1202,Smell of Sadness,Alfred Kossmann
1203,Surfacing,Margaret Atwood
1204,Solitude,Caterina Albert
1205,The Green Hat,Michael Arlen
1206,Indian Summer,Adalbert Stifter
1207,House in the Uplands,Erskine Caldwell
1208,By the Open Sea,August Strindberg
1209,"City, Sister, Silver",Jáchym Topol
1210,Deep River, Shūsaku Endō
1211,The Artamonov Business,Maksim Gorky
1212,Patterns of Childhood, Christa Wolf
1213,The Immoralist,André Gide
1214,The Clay Machine-gun,Viktor Pelevin
1215,The Enigma of Arrival,V. S. Naipaul
1216,Dirty Havana Trilogy,Pedro Juan Gutierrez
1217,Disobedience,Alberto Moravia
1218,Quicksand,Nella Larsen
1219,Dusklands,J M Coetzee
1220,None but the Brave,Arthur Schnitzler
1221,The Viceroys,Federico De Roberto
1222,Homo Faber,Max Frisch
1223,The Cement Garden,Ian McEwan
1224,"130 ""best of"" book lists",list details page
1225,The Trick Is to Keep Breathing,Janice Galloway
1226,The Charwoman's Daughter,James Stephens
1227,A Day Off,Storm Jameson
1228,Professor Martens' Departure,Jaan Kross
1229,All about H. Hatterr, G. V. Desani
1230,Fanny Hill, John Cleland
1231,The Garden Where the Brass Band Played,Simon Vestdijk
1232,La Celestina,Unkown
1233,The Year of the Hare, Arto Paasilinna
1234,The Harvesters,Cesare Pavese
1235,The Labyrinth of Solitude,Octavio Paz
1236,Gimmick!,Joost Zwagerman
1237,"Thomas of Reading, Or, The Sixe Worthie Yeomen of the West",Thomas Deloney
1238,Joseph Andrews,Henry Fielding
1239,Like Life,Lorrie Moore
1240,"Julie, or the New Heloise",Jean-Jacques Rousseau
1241,Alamut,Vladimir Bartol
1242,Stone Junction: An Alchemical Pot-Boiler, Jim Dodge
1243,Justine,Marquis de Sade
1244,The Adventures of Caleb Williams,William Godwin
1245,Mansfield Park,Jane Austen
1246,Camilla,Fanny Burney
1247,In a Glass Darkly,Sheridan Le Fanu
1248,Phineas Finn,Anthony Trollope
1249,The Judge and His Hangman,Friedrich Dürrenmatt
1250,Mother,Maksim Gorky
1251,Around the World in Eighty Days,Jules Verne
1252,Amok,Stefan Zweig
1253,Pepita Jimenez,Juan Valera y Alcalá-Galiano
1254,The Life of Lazarillo de Tormes,Unkown
1255,The Master,Colm Tóibín
1256,Quo Vadis,Henryk Sienkiewicz
1257,Remembering Babylon,David Malouf
1258,Deep Rivers,José María Arguedas
1259,Some Experiences of an Irish R. M.,Edith Somerville
1260,I Thought of Daisy,Edmund Wilson
1261,The House on the Borderland,Frances Hodgson Burnett
1262,"Spring Flowers, Spring Frost",Ismail Kadare
1263,The Forbidden Kingdom,Jan Jacob Slauerhoff
1264,Journey to the Alcarria, Camilo José Cela
1265,A Void,Georges Perec
1266,The Daughter,Pavlos Matesis
1267,Anton Reiser,Karl Philipp Moritz
1268,So Long a Letter, Mariama Bâ
1269,Jacob the Liar,Jurek Becker
1270,Mr Norris Changes Trains,Christopher Isherwood
1271,"Waiting for the Dark, Waiting for the Light",Ivan Klíma
1272,Summer in Baden-Baden,Leonid Tsypkin
1273,Vertigo,W. G. Sebald
1274,The Crow Road,Iain Banks
1275,"130 ""best of"" book lists",list details page
1276,Erewhon,Samuel Butler
1277,The Children's Book,A. S. Byatt
1278,The Underdogs,Mariano Azuela
1279,The Museum of Unconditional Surrender,Dubravka Ugrešić
1280,Max Havelaar,Multatuli
1281,Indigo,Marina Warner
1282,The Laws,Connie Palmen
1283,American Rust,Philipp Meyer
1284,Thaïs,Anatole France
1285,Uncle Petros and Goldbach's Conjecture,Apostolos Doxiadis
1286,Keep the Aspidistra Flying,George Orwell
1287,Under Fire, Henri Barbusse
1288,"They Shoot Horses, Don't They?",Horace McCoy
1289,Transit,Anna Seghers
1290,Requiem for a Dream,Hubert Selby
1291,"This Way for the Gas, Ladies and Gentlemen",Tadeusz Borowski
1292,The Unfortunate Traveller,Thomas Nashe
1293,Ancestral Voices,Etienne van Heerden
1294,The Adventures and Misadventures of Maqroll,Alvaro Mutis
1295,The House of Ulloa,Emilia Pardo Bazán
1296,Tarka the Otter,Henry Williamson
1297,The Pigeon,Patrick Suskind
1298,The Tin Flute,Gabrielle Roy
1299,Exercises in Style,Raymond Queneau
1300,The Devil and Miss Prym,Paulo Coelho
1301,Everything That Rises Must Converge,Flannery O'Connor
1302,The Thin Man,Dashiell Hammett
1303,Looking For The Possible Dance,A. L. Kennedy
1304,The Invention of Curried Sausage,Uwe Timm
1305,Democracy,Joan Didion
1306,Le Diable au corps,Raymond Radiguet
1307,Pharaoh, Bolesław Prus
1308,The Kingdom of This World,Alejo Carpentier
1309,The Case of Sergeant Grischa, Arnold Zweig
1310,Her Privates We,Frederic Manning
1311,Locus Solus,Raymond Roussel
1312,Ashes and Diamonds,Jerzy Andrzejewski
1313,The Virgin in the Garden,A. S. Byatt
1314,The Commandant,Jessica Anderson
1315,The Cathedral,Oles Honchar
1316,Passing,Nella Larsen
1317,The Club Dumas,Arturo Pérez-Reverte
1318,Camera Obscura,Nicolaas Beets
1319,Miss Pettigrew Lives for a Day,Winifred Watson
1320,Asphodel,Hilda Doolittle
1321,Fado Alexandrino,António Lobo Antunes
1322,Pnin,Vladimir Nabokov
1323,Troubling Love,Elena Ferrante
1324,The Piano Teacher,Elfriede Jelinek
1325,Cat and Mouse,Günter Grass
1326,"130 ""best of"" book lists",list details page
1327,The Vice-Consul,Marguerite Duras
1328,Our Lady of the Assassins,Fernando Vallejo
1329,No One Writes to the Colonel,Gabriel Garcia Marquez
1330,The Wars, Timothy Findley
1331,Rituals,Cees Nooteboom
1332,Return to Oegstgeest,Jan Wolkers
1333,The Day of the Dolphin, Robert Merle
1334,The Great Indian Novel,Shashi Tharoor
1335,Memoirs of Martinus Scriblerus,Scriblerus Club
1336,Faceless Killers, Henning Mankell
1337,The Sorrow of Belgium,Hugo Claus
1338,Southern Seas,Manuel Vázquez Montalbán
1339,Silk,Alessandro Baricco
1340,Fool's Gold,Máro Doýka
1341,The Virgin Suicides,Jeffrey Eugenides
1342,"Thank You, Jeeves",P. G. Wodehouse
1343,Pallieter,Felix Timmermans
1344,All Souls' Day,Cees Nooteboom
1345,Sexing the Cherry,Jeanette Winterson
1346,Une vie,Guy de Maupassant
1347,The Witness, Juan José Saer
1348,On the Heights of Despair,Emil Cioran
1349,Margot and the Angels,Kristien Hemmerechts
1350,Death Sentence, Maurice Blanchot
1351,What I Loved,Siri Hustvedt
1352,What a Carve Up!,Jonathan Coe
1353,The Blind Side of the Heart,Julia Franck
1354,The Heretic,Miguel Delibes
1355,The Singapore Grip,J. G. Farrell
1356,As If I Am Not There,Slavenka Drakulic
1357,The Guide,R. K. Narayan
1358,In the Heart of the Country,J M Coetzee
1359,Crossfire,Miyuki Miyabe
1360,Impressions of Africa,Raymond Roussel
1361,Kiss of the Spider Woman,Manuel Puig
1362,In Search of Klingsor,Jorge Volpi Escalante
1363,Eyeless in Gaza,Aldous Huxley
1364,The Pit and the Pendulum,Edgar Allan Poe
1365,The Quest for Christa T., Christa Wolf
1366,Matigari,Ngugi wa Thiong'o
1367,Torrents of Spring,Ivan Turgenev
1368,The Nose,Nikolai Gogol
1369,Against the Day,Thomas Pynchon
1370,Pamela,Samuel Richardson
1371,King Solomon's Mines,H. Rider Haggard
1372,The Adventures of Peregrine Pickle,Tobias Smollett
1373,Far from the Madding Crowd,Thomas Hardy
1374,Alias Grace,Margaret Atwood
1375,Soldiers of Salamis,Javier Cercas
1376,Cutter and Bone,Newton Thornburg
1377,"130 ""best of"" book lists",list details page
1378,The Birds,Tarjei Vesaas
1379,Measuring the World,Daniel Kehlmann
1380,Moon Palace,Paul Auster
1381,At the Mountains of Madness,H. P. Lovecraft
1382,War with the Newts,Karel Čapek
1383,Nemesis,Philip Roth
1384,Nervous Conditions,Tsitsi Dangarembga
1385,Summer Will Show,Sylvia Townsend Warner
1386,Memoirs of a Peasant Boy,Xosé Neira Vilas
1387,In Parenthesis,David Jones
1388,Whatever,Michel Houellebecq
1389,The Last World,Christoph Ransmayr
1390,The Time of Indifference,Alberto Moravia
1391,Melmoth the Wanderer,Charles Robert Maturin
1392,The Professor's House,Willa Cather
1393,Disappearance, David Dabydeen
1394,On the Edge of Reason,Miroslav Krleža
1395,The Living and the Dead,Patrick White
1396,The Marriage Plot,Jeffrey Eugenides
1397,Santa Evita,Tomás Eloy Martínez
1398,The Tale of the Bamboo Cutter,Unkown
1399,L'Abbé C,Georges Bataille
1400,Almost Transparent Blue,Ryū Murakami
1401,Holder of the World: A Novel,Bharati Mukherjee
1402,The Midnight Examiner,William Kotzwinkle
1403,The Lonely Londoners,Sam Selvon
1404,The Fan Man,William Kotzwinkle
1405,Possessing the Secret of Joy,Alice Walker
1406,Empire of the Sun,J. G. Ballard
1407,Who Do You Think You Are?,Alice Munro
1408,Morvern Callar,Alan Warner
1409,Billiards at Half-Past Nine,Heinrich Böll
1410,Blaming,Elizabeth Taylor
1411,The Return of Philip Latinowicz,Miroslav Krleža
1412,Strait is the Gate,André Gide
1413,Delta of Venus,Anaïs Nin
1414,The Successor,Ismail Kadare
1415,Il Piacere,Gabriele D'Annunzio
1416,Rob Roy,Walter Scott
1417,Insatiability,Stanisław Ignacy Witkiewicz
1418,Monica,Saunders Lewis
1419,The Fall of the House of Usher,Edgar Allan Poe
1420,The Girls of Slender Means,Muriel Spark
1421,The Path to the Nest of Spiders,Italo Calvino
